,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,2,0,33,giantsfootball (uncbasketball),,1,1,5,sasser,,1,0,39,j.p (j.p574),39,
,17,10,33,uelito,,0,0,5,kencarsonlistener (drakelistener),,4,2,39,thiccthanos,39,
,1,1,33,kumingaszn,,1,1,5,devonta (dejean),,4,3,39,tacko,39,
,5,1,33,fernando (iconic) (evanchampion),,1,1,5,winslowforprez,,7,2,39,mpls (chrisrichards) (trey.jemison),39,
,7,2,32,grant (whosgrant),,1,0,5,tay,,16,8,39,camnewtondabest (zcamnewton) (zupacam),32,7
,8,4,32,barnes (quickley) (waddle) (bichette),,1,0,5,poopybuttlover,,19,10,39,uelito,33,6
,7,4,32,aholl173,,1,0,5,scottie,,7,3,39,idxstyew,34,5
,7,3,32,famous (famousamos229),,2,0,5,plemay,,20,13,39,ln4,29,10
,12,5,32,camnewtondabest (zcamnewton) (zupacam),,0,0,5,neev,,14,8,39,snowy (snowyosu),34,5
,6,3,31,chrxstian (okc),,1,0,5,longganisa (rich.brian),,12,8,39,devonta (dejean),34,5
,3,1,31,lebron (burgerking) (rodgers),,1,0,5,sink,,8,3,39,clarke (ww98),36,3
,1,1,31,legette (mhii) (xl17),,3,3,5,thedestroyer22,,26,18,39,shad0w,29,10
,5,3,31,christian,,1,0,5,snowy,,8,4,38,schmiddy,34,4
,9,5,31,gschmoney,,2,0,5,eclipse,,7,5,38,liam (bad) (li.am),35,3
,10,6,31,tk14,,4,2,5,jordancarter,,6,1,38,xxyn,35,3
,13,5,31,shenli,,2,1,5,toasty,,20,7,38,saquon,28,10
,5,4,31,sony,,2,1,5,ay355,,22,16,38,fun,38,
,5,3,31,berg_02,,5,1,5,maliknabers69 (leek),,9,5,37,barnes (quickley) (waddle) (bichette),32,5
,15,8,31,corbin (tyus),,2,1,5,sotonyc,,8,2,37,bucky_,36,1
,15,11,31,intriquid,,3,2,5,khys9575,,11,6,37,bennett,23,14
,14,7,30,happ,,1,1,5,kane,,6,3,36,chrxstian (okc),31,5
,6,2,30,therealsportsman,,3,0,5,josephmazzulla,,7,2,36,grant (whosgrant),32,4
,5,2,30,texan,,2,0,5,downs,,13,7,36,rockymountain (mellusi) (timelord) (melendez) (castellanos),35,1
,1,0,30,tatismvpszn,,3,2,5,hoodispida,,17,6,36,newton (member466849),30,6
,5,4,30,cocacola,,1,0,5,robertjr,,4,3,36,tsukiko,36,
,9,3,30,seahawkz,,3,2,4,all (reels),,15,8,36,maxverstappen_ (relaxedp),34,2
,2,1,30,cypablo (cities) (jet) (yeah),,0,0,4,galaxygiraffe (islam),,12,8,35,robert,29,6
,15,6,30,newton (member466849),,1,1,4,lebron (rodgers),,6,4,35,mad,35,
,3,0,30,tye,,0,0,4,cocacola,,4,2,35,lebron (burgerking) (rodgers),31,4
,8,4,30,jaylenszn,,0,0,4,ja.mes,,9,6,35,depressedcardinalsfan,21,14
,5,2,30,itzneallol,,1,1,4,schmiddy_ (yoshida_),,12,3,35,riggiem,25,10
,18,11,30,chazwick,,0,0,4,buctober2024,,13,5,35,shenli,31,4
,17,10,30,mrswaggymcswag0,,0,0,4,icemountain,,16,13,35,icy,24,11
,21,15,30,downs,,0,0,4,aidenishim,,23,15,35,downs,30,5
,10,7,29,robert,,1,0,4,raffe (alecbohm28),,13,11,34,heim (boban),34,
,8,3,29,lubob,,1,1,4,leow,,2,1,34,tatismvpszn,30,4
,14,10,29,jakefromstatenothing,,0,0,4,skoh,,5,4,34,cocacola,30,4
,13,7,29,yogiferrell,,2,1,4,koski,,1,1,34,legette (mhii) (xl17),31,3
,7,4,29,dawgsnation,,2,1,4,👻,,8,4,34,famous (famousamos229),32,2
,14,7,29,ln4,,1,0,4,markdavishaircut,,8,2,34,brax__,27,7
,4,2,29,noir,,1,1,4,bos,,6,2,34,jensive,26,8
,6,1,29,crqmer,,0,0,4,grant,,6,2,34,fernando (iconic) (evanchampion),33,1
,14,9,29,yaxel (🚀📈🔥),,0,0,4,bigk,,15,11,34,intriquid,31,3
,10,3,29,rich.brian (longganisa),,3,1,4,jjettaz (senddavide0),,11,3,34,rich.brian (longganisa),29,5
,20,15,29,shad0w,,0,0,4,shenli,,16,10,34,tgeneral,24,10
,7,3,29,ay355,,2,1,4,sallis,,9,4,34,ay355,29,5
,4,3,28,maxkepler,,1,1,4,tatismvpszn,,2,0,33,giantsfootball (uncbasketball),33,
,7,4,28,ben,,0,0,4,ig (aura),,1,1,33,kumingaszn,33,
,0,0,28,idkwhattoput,,0,0,4,fullofopps,,4,1,33,ballingpm,26,7
,3,0,28,romeodunze15 (robertjr) (kyleteel),,2,0,4,snivy,,10,1,33,tay,28,5
,6,5,28,crow.armstrong,,1,1,4,playexplainer,,17,8,33,aunt,24,9
,5,1,28,homeslice2,,0,0,4,bacot,,18,8,33,eclipse,28,5
,16,14,28,lebron23goat6,,2,0,4,cbd,,15,7,32,happ,30,2
,14,5,28,masdog2222,,2,0,4,heroin (wulf) (meth),,3,1,32,tyler (wittjr),27,5
,9,1,28,tay,,1,0,4,dane,,7,2,32,wohlm (trance),17,15
,10,6,28,prove,,1,0,4,grizzy,,2,1,32,cypablo (cities) (jet) (yeah),30,2
,15,5,28,saquon,,0,0,4,seahawkswoolen,,5,4,32,sony,31,1
,16,8,28,eclipse,,1,1,4,willi3,,6,3,32,itzneallol,30,2
,11,6,28,jay.p,,2,0,3,herb,,19,11,32,chazwick,30,2
,12,7,27,mordred (kay),,3,3,3,cywheela (papadoody135),,14,7,32,ottsam,16,16
,11,9,27,wednesdaychicken,,0,0,3,panarin (Piggies GM),,6,2,31,therealsportsman,30,1
,2,0,27,tyler (wittjr),,0,0,3,shai (mrshai),,8,6,31,soyeon (joshy) (tzuyu),23,8
,4,1,27,brax__,,0,0,3,casty (quinn__),,8,4,31,harper (skenes) (star) (uzi),21,10
,4,2,27,gingy,,1,1,3,abos,,11,5,31,all (reels),27,4
,8,3,27,all (reels),,2,1,3,tushpushenjoyer,,8,4,31,imlincoln,21,10
,6,3,27,tyresemaxey,,2,1,3,hovey,,10,6,31,tk14,31,
,4,3,27,omar__,,0,0,3,spencersteer (losrojos),,12,7,31,pritchard,23,8
,6,2,27,hoosier (suggs) (gpii) (lynwithers),,0,0,3,wilsonmck18 (wilson),,6,5,31,crow.armstrong,28,3
,0,0,27,tylrr,,0,0,3,holmesdale (letsgobrewcrew),,5,3,31,berg_02,31,
,15,5,27,evanstewart (killerbees_71) (evan_stewart_ii),,0,0,3,dantheman,,12,7,31,robertjr (spursszn_) (thorpee) (robertjr88),26,5
,8,1,27,redwarrior,,1,1,3,pursue (glockies),,14,7,31,maliknabers69 (leek),26,5
,7,5,26,dwnny,,1,0,3,oubre,,12,6,30,zander44,24,6
,3,2,26,nebraska,,2,1,3,kirk (bhxy03),,6,2,30,cay1 (cay),24,6
,6,5,26,cookie,,1,0,3,bas0 (bas),,10,5,30,drob,25,5
,1,0,26,bojangles,,0,0,3,maxey0 (tyrese),,5,2,30,texan,30,
,6,3,26,schmighty,,1,1,3,mdotcash23,,9,3,30,seahawkz,30,
,2,0,26,holmesdale (letsgobrewcrew) (therealbenshelton),,0,0,3,member102218 (olave),,5,3,30,winn_enthusiast,25,5
,0,0,26,bluejays4567 (bluejays26926),,1,0,3,be11o (bello),,3,0,30,tye,30,
,0,0,26,hairston (lewis),,0,0,3,member861107 (will),,4,3,30,kencarsonlistener (drakelistener),25,5
,2,0,26,baldmamba (hutchszn) (waymoszn),,0,0,3,barnzo20,,9,9,30,will_li3 (willi3),26,4
,8,8,26,will_li3 (willi3),,1,0,3,nebraska,,11,6,30,jay.p,28,2
,6,2,26,jensive,,2,0,3,eric_c25,,4,2,29,nebraska,26,3
,3,1,26,ballingpm,,0,0,3,wade,,0,0,29,idkwhattoput,28,1
,9,3,26,cs_derrick13,,0,0,3,mhii (xl17) (legette),,4,2,29,gingy,27,2
,11,7,26,robertjr (spursszn_) (thorpee) (robertjr88),,0,0,3,perrc,,2,0,29,holmesdale (letsgobrewcrew) (therealbenshelton),26,3
,17,9,26,hemanthhh (chrono),,0,0,3,ok,,7,3,29,tyresemaxey,27,2
,9,6,26,maliknabers69 (leek),,0,0,3,acod,,14,8,29,kyoten,18,11
,5,1,25,pickens_14 (spanishdaddies23),,1,1,3,cherrytrentjr,,4,3,29,omar__,27,2
,9,5,25,drob,,1,1,3,liam,,9,3,29,jjettaz (senddavide0),25,4
,6,3,25,kenbennedy,,0,0,3,codybellinger,,4,2,29,noir,29,
,2,1,25,atl,,1,0,3,vincent,,10,4,29,cs_derrick13,26,3
,4,2,25,winn_enthusiast,,1,0,3,juan.soto22,,9,1,29,redwarrior,27,2
,7,2,25,riggiem,,0,0,3,xxyn,,4,3,28,maxkepler,28,
,6,3,25,moritz_seider (colt_keith) (brian_branch),,0,0,3,yorck,,7,4,28,ben,28,
,4,3,25,kencarsonlistener (drakelistener),,0,0,3,intriquid,,7,4,28,schmighty,26,2
,6,2,25,jjettaz (senddavide0),,0,0,3,morant,,3,0,28,romeodunze15 (robertjr) (kyleteel),28,
,3,1,25,draculas,,0,0,3,crow.armstrong,,5,1,28,homeslice2,28,
,4,2,25,lukamodric,,0,0,3,spartyy,,14,10,28,garrett,23,5
,10,5,24,zander44,,0,0,3,maxp,,10,6,28,prove,28,
,6,2,24,cay1 (cay),,0,0,3,anandpur,,9,2,28,plemay,23,5
,1,0,24,orji,,1,0,3,clarke,,17,9,28,hemanthhh (chrono),26,2
,5,3,24,ozone,,0,0,3,jobro,,6,3,27,kenbennedy,25,2
,0,0,24,pursue (glockies),,1,1,3,cs_derrick13,,1,0,27,bojangles,26,1
,3,0,24,lleweypooey,,1,0,3,lby7,,10,7,27,mybalzich,22,5
,3,1,24,ezeyelliot,,0,0,3,quickley,,2,1,27,atl,25,2
,1,0,24,spencersteer,,1,0,3,bg_15 (heliot) (adames),,1,1,27,pursue (glockies),24,3
,5,2,24,mars_vibezz,,0,0,3,galletitas,,6,4,27,skoh,23,4
,11,6,24,aunt,,1,0,3,skiseason,,1,0,27,spencersteer,24,3
,6,1,24,notkiddo (kiddo),,1,0,3,jriii3,,0,0,27,hairston (lewis),26,1
,6,3,24,bg_15 (adames) (heliot),,1,1,3,aiden0220,,6,2,27,hoosier (suggs) (gpii) (lynwithers),27,
,5,1,24,nael_abuasi,,2,2,3,shion (kanest),,0,0,27,tylrr,27,
,3,3,24,bengalsw,,0,0,3,kidder,,8,3,27,josephmazzulla,22,5
,11,8,24,tgeneral,,0,0,2,chim_ (chim),,3,1,27,draculas,25,2
,8,7,24,icy,,0,0,2,wj,,15,5,27,evanstewart (killerbees_71) (evan_stewart_ii),27,
,8,4,24,top (paolo),,0,0,2,partnat,,4,2,27,lukamodric,25,2
,5,2,23,spencer_5m,,0,0,2,yakov (max.muncy),,7,3,27,bg_15 (adames) (heliot),24,3
,6,5,23,soyeon (joshy) (tzuyu),,0,0,2,croatia,,5,1,26,pickens_14 (spanishdaddies23),25,1
,8,4,23,perrc,,0,0,2,declan (declxn),,7,5,26,dwnny,26,
,2,1,23,mangoz29,,1,1,2,harry,,6,5,26,cookie,26,
,6,4,23,skoh,,1,1,2,islam (nyc),,8,4,26,perrc,23,3
,8,4,23,camflash,,0,0,2,ezeyelliot,,3,1,26,ezeyelliot,24,2
,17,12,23,hedge,,0,0,2,gridd,,7,3,26,osach,19,7
,8,6,23,pritchard,,0,0,2,wiirtz (saliba),,0,0,26,bluejays4567 (bluejays26926),26,
,12,8,23,garrett,,0,0,2,oj,,6,2,26,madrid,11,15
,9,4,23,samismid,,0,0,2,atl,,2,1,26,michael,19,7
,7,3,23,bennett,,0,0,2,austin,,12,10,26,markdavishaircut,22,4
,3,1,23,yorkkkk (liljon) (jaccags),,0,0,2,mangoz29,,2,0,26,baldmamba (hutchszn) (waymoszn),26,
,7,2,23,plemay,,0,0,2,kenbennedy,,1,0,26,burning,21,5
,3,1,23,vazyok (cywebb) (rivv_) (glo) (billie),,0,0,2,mrben (saint),,10,6,26,cbd,22,4
,10,7,23,mythic,,0,0,2,isaaclover (morelvaluableplayer),,8,4,26,top (paolo),24,2
,11,7,23,charlie2105,,0,0,2,cherishadrian,,11,4,25,eric_c25,22,3
,2,2,22,austin (ajw),,1,1,2,schmighty,,2,1,25,mangoz29,23,2
,8,5,22,mybalzich,,0,0,2,tigert (geno) (tig),,4,0,25,ja.mes,21,4
,9,4,22,eric_c25,,1,1,2,famous,,2,2,25,david_,20,5
,10,5,22,kylemck18,,0,0,2,holland (swaggy),,7,5,25,adamoo,12,13
,1,1,22,isaaclover (christophermorel1),,1,1,2,isaac12345541,,11,4,25,adrian (dri),19,6
,11,10,22,markdavishaircut,,0,0,2,chickengobrr,,0,0,25,fullofopps,21,4
,2,1,22,deathtoamerica,,0,0,2,omar__,,6,3,25,moritz_seider (colt_keith) (brian_branch),25,
,7,2,22,hulkman1025,,1,0,2,tyresemaxey,,3,3,25,bengalsw,24,1
,7,2,22,dogger (cam_johnson) (grimes) (xavier),,0,0,2,cities (jet) (yeah) (buckets),,11,9,25,hoodispida,20,5
,5,3,22,josephmazzulla,,1,0,2,haus_,,2,2,24,austin (ajw),22,2
,8,6,22,cbd,,1,0,2,touchdown,,1,0,24,orji,24,
,12,7,22,emo,,0,0,2,kobebryant,,5,3,24,ozone,24,
,2,1,22,peterbruno,,0,0,2,playboi,,1,1,24,isaaclover (christophermorel1),22,2
,1,1,21,cherishadrian,,0,0,2,dogger (cam_johnson) (grimes) (xavier),,3,0,24,lleweypooey,24,
,3,0,21,harper (skenes) (star) (uzi),,0,0,2,followerofchrist,,3,1,24,car.son,17,7
,4,0,21,ja.mes,,1,0,2,happ,,1,0,24,bear.5,19,5
,6,4,21,trossxrd (wiirtz) (igor.shesty) (saliba) (quickleyy),,0,0,2,zaccc,,6,2,24,mariosss (talk.tuah) (skibidinga),15,9
,7,4,21,luv,,1,1,2,goodbyesosoon,,7,2,24,dogger (cam_johnson) (grimes) (xavier),22,2
,5,3,21,imlincoln,,0,0,2,darwin (senga),,9,4,24,samismid,23,1
,2,1,21,harry (🔥),,0,0,2,michael.carter.ll,,5,2,24,mars_vibezz,24,
,3,2,21,depressedcardinalsfan,,1,0,2,sweat,,5,1,24,nael_abuasi,24,
,0,0,21,fullofopps,,0,0,2,lukamodric,,8,3,24,galletitas,21,3
,0,0,21,burning,,0,0,2,panarin,,14,10,24,thedestroyer22,19,5
,7,6,21,joshminottenjoyer,,0,0,2,siri,,9,5,24,jobro,21,3
,8,3,21,galletitas,,1,1,2,itzneallol,,5,2,23,spencer_5m,23,
,5,1,21,jcbihh,,1,0,2,maxverstappen_ (relaxedp),,1,1,23,cherishadrian,21,2
,9,5,21,jobro,,1,0,2,chazwick,,6,4,23,trossxrd (wiirtz) (igor.shesty) (saliba) (quickleyy),21,2
,3,2,20,devers,,0,0,2,arttheclown_,,8,4,23,camflash,23,
,2,2,20,david_,,0,0,2,top,,1,0,23,dantheman,20,3
,1,0,20,dantheman,,0,0,2,gingy,,3,2,23,harry (🔥),21,2
,3,1,20,abos,,0,0,2,xyo,,17,12,23,hedge,23,
,1,0,20,fluffeebunnz,,1,0,2,frylock,,4,2,23,abos,20,3
,0,0,20,porter (najeeharrisglazer),,0,0,2,draculas,,8,7,23,joshminottenjoyer,21,2
,4,3,20,jriii3,,1,1,2,cove (one) (marvin) (timeless) (leclerc) (dreww) (tiedemann) (marte),,3,1,23,yorkkkk (liljon) (jaccags),23,
,8,7,20,hoodispida,,1,0,2,ascent,,3,1,23,vazyok (cywebb) (rivv_) (glo) (billie),23,
,3,2,19,hassonn (spiderman),,0,0,2,bane,,10,7,23,mythic,23,
,2,0,19,kirk (bhxy03),,1,1,2,joshminottenjoyer,,12,7,23,emo,22,1
,3,1,19,nyr20,,1,0,2,king (notking),,11,7,23,charlie2105,23,
,3,2,19,osach,,1,0,2,futanari,,5,3,23,jriii3,20,3
,0,0,19,vikings (anthonyedwards),,0,0,2,trey (usedtobetrey),,10,5,22,kylemck18,22,
,1,0,19,bear.5,,0,0,2,hemanthhh (chrono),,4,1,22,kirk (bhxy03),19,3
,10,4,19,adrian (dri),,1,0,2,redwarrior,,5,2,22,member481067 (james.cookk),13,9
,2,1,19,michael,,0,0,2,jay (jay.p),,2,1,22,deathtoamerica,22,
,2,1,19,denniss (brown),,1,0,2,tiger,,7,2,22,hulkman1025,22,
,3,0,19,tatum (jt0),,0,0,1,jrc (❤️),,7,6,22,trixsta,16,6
,4,0,19,futuristic (ycoe) (brewers) ,,0,0,1,det (gibbs),,5,1,22,jcbihh,21,1
,1,0,19,wood,,0,0,1,bluegill (sliptakes),,2,1,22,peterbruno,22,
,6,3,19,jamiee,,0,0,1,pressy07,,4,2,21,icemountain,17,4
,7,4,19,robtooshifty (anthonyedwardsisgood),,0,0,1,kopryd,,3,2,21,barnzo20,18,3
,11,7,19,thedestroyer22,,0,0,1,bojack,,6,1,21,kc,16,5
,2,1,18,kawhi55,,0,0,1,idkwhattoput,,19,15,21,yato,13,8
,2,1,18,nfl,,0,0,1,singularity393,,4,3,21,cherry (cherrytrentjr) (hi),18,3
,3,2,18,gridd,,1,0,1,manoffaith,,2,0,21,baldwin (yamal19),15,6
,3,2,18,barnzo20,,0,0,1,thundering,,5,3,21,codybellinger,18,3
,1,0,18,osmannn (addison) (bigpurr),,0,0,1,bojangles,,4,2,21,🍁,9,12
,3,2,18,cherry (cherrytrentjr) (hi),,0,0,1,therealsportsman,,11,8,21,louseal,13,8
,1,0,18,pedals,,0,0,1,hunchox,,3,2,20,prodraiders (nosey),12,8
,2,1,18,coltsfan36951,,0,0,1,atlantasports,,3,2,20,devers,20,
,8,2,18,kyoten,,0,0,1,bucky_ ,,6,3,20,aidenishim (fat),16,4
,5,3,18,codybellinger,,0,0,1,cjkreider,,3,2,20,gridd,18,2
,3,2,18,jalix (bent),,0,0,1,hobojoe,,2,1,20,bas0,17,3
,4,1,18,dawkins_ (burns),,0,0,1,nationals,,3,2,20,denniss (brown),19,1
,3,3,17,angusk,,0,0,1,nfl,,1,0,20,fluffeebunnz,20,
,2,0,17,safety,,0,0,1,chris2monke,,4,1,20,tatum (jt0),19,1
,2,0,17,wohlm (trance),,0,0,1,👀,,0,0,20,porter (najeeharrisglazer),20,
,4,2,17,icemountain,,0,0,1,pickens_14,,7,4,20,sasser,15,5
,3,1,17,car.son,,1,1,1,ryland (slye),,5,5,20,_vinnie,10,10
,1,1,17,bas0,,0,0,1,michst37,,3,2,19,hassonn (spiderman),19,
,2,1,17,steelers (divo) (cristiano),,0,0,1,kenny,,2,1,19,nfl,18,1
,2,0,17,adrimtl10,,0,0,1,chase9wg,,3,1,19,nyr20,19,
,3,0,17,restrepo7,,0,0,1,lewis,,0,0,19,vikings (anthonyedwards),19,
,7,2,17,josh_0310,,0,0,1,restrepo7,,1,0,19,pedals,18,1
,4,3,16,klpg,,1,1,1,tatum,,4,0,19,futuristic (ycoe) (brewers) ,19,
,1,1,16,buxtonlikesbudweiser,,0,0,1,sony,,1,0,19,wood,19,
,6,3,16,aidenishim (fat),,1,1,1,sleeky,,6,3,19,jamiee,19,
,2,1,16,franky,,0,0,1,pedals,,7,4,19,robtooshifty (anthonyedwardsisgood),19,
,7,5,16,nea,,0,0,1,adrimtl10,,2,1,19,quickley,16,3
,4,1,16,kc,,1,1,1,brown (dmo) (denniss),,5,4,19,spartyy,16,3
,5,5,16,witt (keyontae) (maikel),,0,0,1,sc6rz,,2,1,18,kawhi55,18,
,2,1,16,wj,,0,0,1,jmb,,2,1,18,ok,15,3
,2,0,16,declan (declxn) (member170554),,0,0,1,karinabluu,,6,2,18,member861107 (will),15,3
,3,1,16,jayson,,1,1,1,fernando (iconic),,2,1,18,wj,16,2
,6,4,16,zaccc,,0,0,1,lucasjpalmer,,1,0,18,osmannn (addison) (bigpurr),18,
,5,4,16,trixsta,,0,0,1,rockymountain (melendez),,2,0,18,declan (declxn) (member170554),16,2
,8,7,16,michael.carter.ll,,0,0,1,devincooker,,2,1,18,coltsfan36951,18,
,1,0,16,bello,,0,0,1,spidawebb,,2,0,18,adrimtl10,17,1
,0,0,16,shot,,0,0,1,emo,,3,0,18,restrepo7,17,1
,2,1,16,quickley,,1,0,1,precision,,6,4,18,zaccc,16,2
,4,2,16,goose,,0,0,1,bengalsw,,8,7,18,michael.carter.ll,16,2
,1,1,16,jazzy.y (log.an) (shacarri),,0,0,1,samismid,,3,2,18,jalix (bent),18,
,5,4,16,spartyy,,0,0,1,penixszn,,6,5,18,anandpur,15,3
,6,3,16,lu_dort,,0,0,1,jcbihh,,4,1,18,dawkins_ (burns),18,
,5,3,16,delta,,1,1,1,poolepartyjp3,,7,6,17,oj (scvrpion),15,2
,8,5,16,ottsam,,,,,,,3,3,17,angusk,17,
,2,0,16,lazurite,,,,,,,2,0,17,safety,17,
,0,0,15,jackcenaaa,,,,,,,6,3,17,jags (cookedbyjags),12,5
,2,1,15,ok,,,,,,,2,1,17,steelers (divo) (cristiano),17,
,2,1,15,minkah,,,,,,,7,2,17,josh_0310,17,
,7,6,15,oj (scvrpion),,,,,,,5,1,17,wulf (heroin) (meth),13,4
,6,2,15,member861107 (will),,,,,,,6,1,17,lby7,14,3
,2,0,15,keishi,,,,,,,6,2,17,ascent,15,2
,2,2,15,kuzma (kuz_),,,,,,,4,3,16,klpg,16,
,5,2,15,mariosss (talk.tuah) (skibidinga),,,,,,,1,1,16,buxtonlikesbudweiser,16,
,2,0,15,axde (fernando),,,,,,,2,1,16,franky,16,
,0,0,15,tilted,,,,,,,7,5,16,nea,16,
,3,3,15,metsxjets_,,,,,,,5,5,16,witt (keyontae) (maikel),16,
,1,0,15,baldwin (yamal19),,,,,,,1,0,16,panarin (Piggies GM),13,3
,3,2,15,trevq3,,,,,,,4,2,16,isaac1234541,14,2
,6,3,15,sasser,,,,,,,10,6,16,koski,12,4
,0,0,15,justakidfromakron23,,,,,,,4,3,16,sallis,12,4
,6,5,15,anandpur,,,,,,,4,3,16,yorck,13,3
,9,8,15,gio,,,,,,,3,1,16,jayson,16,
,9,5,15,goated14,,,,,,,7,2,16,skiseason,13,3
,3,0,15,yomama99,,,,,,,1,0,16,bello,16,
,5,2,15,ascent,,,,,,,6,3,16,panarin (grisham) (goldschmidt),14,2
,8,4,15,juan69,,,,,,,0,0,16,shot,16,
,4,3,15,kage,,,,,,,4,2,16,goose,16,
,9,5,15,penixszn,,,,,,,1,1,16,jazzy.y (log.an) (shacarri),16,
,1,0,14,dereck.lively,,,,,,,7,6,16,five (cinq),10,6
,4,1,14,lil_z,,,,,,,6,3,16,lu_dort,16,
,2,1,14,tadass,,,,,,,5,3,16,delta,16,
,0,0,14,iantaylor (ian),,,,,,,11,11,16,shion (kanest),13,3
,10,8,14,cole (coleamole),,,,,,,9,5,16,penixszn,15,1
,3,1,14,isaac1234541,,,,,,,8,3,16,kidder,13,3
,1,0,14,karty,,,,,,,2,0,16,lazurite,16,
,4,2,14,targaryen,,,,,,,0,0,15,jackcenaaa,15,
,1,1,14,ccamp,,,,,,,2,1,15,minkah,15,
,3,3,14,colts.content,,,,,,,6,3,15,bl,10,5
,6,3,14,panarin (grisham) (goldschmidt),,,,,,,2,0,15,keishi,15,
,6,4,14,deshaun4prison,,,,,,,3,2,15,mdotcash23,12,3
,5,1,14,lby7,,,,,,,2,2,15,kuzma (kuz_),15,
,5,2,14,xyx,,,,,,,2,0,15,axde (fernando),15,
,3,1,14,pedropages,,,,,,,0,0,15,partnat,13,2
,4,2,14,pixxie,,,,,,,0,0,15,antcoppola18,10,5
,7,3,14,xintervol,,,,,,,0,0,15,tilted,15,
,0,0,13,delpit9 (delpit),,,,,,,5,2,15,haus_,13,2
,2,2,13,fox,,,,,,,3,3,15,metsxjets_,15,
,12,9,13,yato,,,,,,,3,2,15,trevq3,15,
,6,4,13,kopyrd,,,,,,,0,0,15,justakidfromakron23,15,
,2,1,13,trey27 (trey),,,,,,,9,8,15,gio,15,
