,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,2,1,13,atlantasports (atlantasports1),,,,,,,6,4,15,tiger,13,2
,1,0,13,mason,,,,,,,9,5,15,goated14,15,
,1,0,13,panarin (Piggies GM),,,,,,,4,2,15,futanari,13,2
,1,0,13,chris2monke (dakotaprescott) (christopher) (christophersa),,,,,,,3,0,15,yomama99,15,
,0,0,13,partnat,,,,,,,8,4,15,juan69,15,
,3,1,13,member481067 (james.cookk),,,,,,,4,3,15,kage,15,
,0,0,13,skysmores,,,,,,,1,0,14,dereck.lively,14,
,0,0,13,jax,,,,,,,4,1,14,lil_z,14,
,1,0,13,frankielindor,,,,,,,1,1,14,shai (sunga) (mrshai),11,3
,4,2,13,haus_,,,,,,,2,1,14,tadass,14,
,4,3,13,yorck,,,,,,,5,2,14,oubre,11,3
,2,2,13,dragracer661,,,,,,,0,0,14,iantaylor (ian),14,
,6,2,13,skiseason,,,,,,,6,4,14,kopyrd,13,1
,5,5,13,jtfr,,,,,,,2,1,14,atlantasports (atlantasports1),13,1
,3,1,13,wulf (heroin) (meth),,,,,,,1,0,14,chris2monke (dakotaprescott) (christopher) (christophersa),13,1
,0,0,13,j417,,,,,,,10,8,14,cole (coleamole),14,
,4,2,13,whiite (milkdih) (leakey) (beatopia_) (ovo),,,,,,,3,1,14,acod,11,3
,8,4,13,karinabluu,,,,,,,1,0,14,karty,14,
,8,7,13,louseal,,,,,,,4,2,14,targaryen,14,
,5,4,13,tiger,,,,,,,1,1,14,ccamp,14,
,9,9,13,shion (kanest),,,,,,,3,3,14,colts.content,14,
,3,2,13,futanari,,,,,,,1,0,14,morant,11,3
,4,1,13,precision,,,,,,,6,4,14,deshaun4prison,14,
,8,3,13,kidder,,,,,,,8,4,14,karinabluu,13,1
,3,1,13,cyris,,,,,,,5,2,14,xyx,14,
,1,0,12,sotoshuffle,,,,,,,2,1,14,bane,12,2
,0,0,12,hemdeepd24,,,,,,,5,1,14,precision,13,1
,3,2,12,prodraiders (nosey),,,,,,,3,1,14,pedropages,14,
,1,0,12,santiago_gimenez,,,,,,,4,2,14,pixxie,14,
,2,1,12,ruhverse,,,,,,,7,3,14,xintervol,14,
,1,0,12,josh.green,,,,,,,0,0,13,delpit9 (delpit),13,
,2,1,12,henderson (gunnar) (mountcastle),,,,,,,2,1,13,mrben,11,2
,0,0,12,adamoo,,,,,,,2,2,13,fox,13,
,2,1,12,mdotcash23,,,,,,,0,0,13,playboi,11,2
,2,0,12,mitch,,,,,,,2,1,13,trey27 (trey),13,
,5,2,12,jags (cookedbyjags),,,,,,,1,0,13,mason,13,
,2,1,12,gonda,,,,,,,2,1,13,singularity393,12,1
,2,1,12,cajuns (ingram) (ingram14),,,,,,,0,0,13,det (gibbs),12,1
,2,1,12,singularity393,,,,,,,5,5,13,member102218 (olave),10,3
,0,0,12,det (gibbs),,,,,,,5,2,13,tushpushenjoyer,10,3
,0,0,12,robert228,,,,,,,0,0,13,skysmores,13,
,0,0,12,cain,,,,,,,0,0,13,jax,13,
,8,5,12,koski,,,,,,,1,0,13,frankielindor,13,
,0,0,12,stkviking,,,,,,,2,2,13,dragracer661,13,
,1,1,12,bostonculture,,,,,,,5,5,13,jtfr,13,
,2,1,12,bubcarringtonn (tanaa),,,,,,,0,0,13,j417,13,
,2,2,12,sallis,,,,,,,4,2,13,whiite (milkdih) (leakey) (beatopia_) (ovo),13,
,1,0,12,jitterz,,,,,,,4,4,13,lucasjpalmer,12,1
,4,4,12,lucasjpalmer,,,,,,,3,1,13,cyris,13,
,4,3,12,bijan (cheezin),,,,,,,1,0,12,sotoshuffle,12,
,4,1,12,28problemz,,,,,,,0,0,12,hemdeepd24,12,
,7,4,12,f1,,,,,,,1,0,12,santiago_gimenez,12,
,2,1,12,bane,,,,,,,2,1,12,ruhverse,12,
,5,2,12,flem2tuff,,,,,,,1,0,12,josh.green,12,
,4,1,12,duplex,,,,,,,1,0,12,tigert (tig),10,2
,2,1,11,mrben,,,,,,,1,1,12,👀,11,1
,1,1,11,👀,,,,,,,2,1,12,henderson (gunnar) (mountcastle),12,
,0,0,11,playboi,,,,,,,2,0,12,mitch,12,
,1,1,11,luca,,,,,,,1,1,12,hobojoe,11,1
,0,0,11,macsaviour,,,,,,,2,1,12,gonda,12,
,1,1,11,shai (sunga) (mrshai),,,,,,,2,1,12,cajuns (ingram) (ingram14),12,
,1,0,11,madrid,,,,,,,3,2,12,chim_ (chim),10,2
,1,1,11,hobojoe,,,,,,,3,1,12,islam (nyc),10,2
,4,2,11,oubre,,,,,,,1,1,12,maxey0 (tyrese),9,3
,0,0,11,dylan (hart) (alvarez),,,,,,,0,0,12,robert228,12,
,3,1,11,acod,,,,,,,0,0,12,cain,12,
,0,0,11,bacon,,,,,,,0,0,12,stkviking,12,
,2,2,11,hollywood,,,,,,,1,1,12,bostonculture,12,
,2,2,11,pigestry (piggy),,,,,,,2,1,12,bubcarringtonn (tanaa),12,
,1,0,11,morant,,,,,,,1,0,12,jitterz,12,
,1,0,11,collegedropouts,,,,,,,4,3,12,bijan (cheezin),12,
,4,4,11,jayden_higgins,,,,,,,4,1,12,28problemz,12,
,6,3,11,license,,,,,,,7,4,12,f1,12,
,5,3,11,nazreidadmirer,,,,,,,5,2,12,flem2tuff,12,
,0,0,10,mp0303,,,,,,,4,1,12,duplex,12,
,1,0,10,tigert (tig),,,,,,,1,1,11,luca,11,
,4,2,10,bl,,,,,,,0,0,11,macsaviour,11,
,4,2,10,wheeler,,,,,,,0,0,11,dylan (hart) (alvarez),11,
,5,2,10,march_madness_script,,,,,,,2,0,11,wilsonmck18 (wilson),8,3
,3,2,10,chim_ (chim),,,,,,,0,0,11,giannis_is_my_dad,5,6
,0,0,10,braedendub04,,,,,,,0,0,11,bacon,11,
,0,0,10,fatherlockett,,,,,,,5,4,11,touchdown,9,2
,0,0,10,wolverines (branchy) (kitts),,,,,,,2,2,11,hollywood,11,
,5,5,10,member102218 (olave),,,,,,,2,2,11,pigestry (piggy),11,
,1,1,10,thatonechiefsfan,,,,,,,2,1,11,jmb (mbj) (reed) (joshjacobs),10,1
,0,0,10,calebcsw (djmoore),,,,,,,1,0,11,collegedropouts,11,
,4,2,10,bedard,,,,,,,4,4,11,jayden_higgins,11,
,0,0,10,trevvyy,,,,,,,6,3,11,license,11,
,3,1,10,tushpushenjoyer,,,,,,,5,3,11,tranglerz,5,6
,0,0,10,antcoppola18,,,,,,,5,3,11,nazreidadmirer,11,
,0,0,10,kb1234,,,,,,,0,0,10,mp0303,10,
,2,0,10,islam (nyc),,,,,,,4,2,10,wheeler,10,
,0,0,10,palmingo,,,,,,,5,2,10,march_madness_script,10,
,2,1,10,wolverines,,,,,,,0,0,10,braedendub04,10,
,0,0,10,rhyne (orl) (orlando) (thegiver),,,,,,,0,0,10,fatherlockett,10,
,1,0,10,butler (jimmybutler),,,,,,,4,1,10,herb,7,3
,0,0,10,meeaan (edaddy11),,,,,,,0,0,10,wolverines (branchy) (kitts),10,
,2,1,10,jdubszn (alonso),,,,,,,1,1,10,thatonechiefsfan,10,
,2,1,10,chltown,,,,,,,0,0,10,calebcsw (djmoore),10,
,2,2,10,_vinnie,,,,,,,4,2,10,bedard,10,
,2,0,10,froggies,,,,,,,0,0,10,trevvyy,10,
,5,4,10,five (cinq),,,,,,,0,0,10,kb1234,10,
,1,1,10,bolton (qianed),,,,,,,0,0,10,palmingo,10,
,7,4,9,comp,,,,,,,2,1,10,wolverines,10,
,2,1,9,dukeyo (🏈) (duke),,,,,,,0,0,10,chickengobrr,8,2
,1,1,9,maxey0 (tyrese),,,,,,,0,0,10,rhyne (orl) (orlando) (thegiver),10,
,1,1,9,wean,,,,,,,1,0,10,butler (jimmybutler),10,
,0,0,9,yunior,,,,,,,0,0,10,meeaan (edaddy11),10,
,2,1,9,sssosa (sosa),,,,,,,2,1,10,jdubszn (alonso),10,
,4,4,9,touchdown,,,,,,,2,1,10,chltown,10,
,2,1,9,saintdezzy,,,,,,,2,0,10,froggies,10,
,0,0,9,kungfukendrick,,,,,,,1,1,10,bolton (qianed),10,
,2,1,9,🍁,,,,,,,2,0,10,trey (usedtobetrey),8,2
,3,2,9,nate_ (btjszn),,,,,,,7,4,9,comp,9,
,0,0,9,gmoneytb,,,,,,,2,1,9,dukeyo (🏈) (duke),9,
,1,0,9,⚔️👑,,,,,,,1,1,9,wean,9,
,2,2,9,cob,,,,,,,0,0,9,yunior,9,
,2,2,9,fromthepost,,,,,,,2,1,9,sssosa (sosa),9,
,0,0,8,lake10,,,,,,,2,1,9,saintdezzy,9,
,1,0,8,bigmatt21 (sirgeno),,,,,,,0,0,9,kungfukendrick,9,
,1,0,8,porsche,,,,,,,2,0,9,xyo,7,2
,0,0,8,shinji (gxld),,,,,,,3,2,9,nate_ (btjszn),9,
,1,1,8,theswitchr,,,,,,,1,0,9,frylock,7,2
,1,0,8,mariiio (mario),,,,,,,0,0,9,gmoneytb,9,
,2,0,8,wilsonmck18 (wilson),,,,,,,1,0,9,⚔️👑,9,
,0,0,8,jt,,,,,,,2,2,9,cob,9,
,1,0,8,cz31,,,,,,,2,2,9,fromthepost,9,
,0,0,8,tony025 (gus_edwards) (nolan_arenado),,,,,,,0,0,8,lake10,8,
,0,0,8,chickengobrr,,,,,,,1,0,8,bigmatt21 (sirgeno),8,
,1,1,8,anardi2727,,,,,,,4,2,8,thundering,7,1
,3,2,8,pg (jrrdql),,,,,,,1,0,8,porsche,8,
,0,0,8,scwipts,,,,,,,0,0,8,bluegill (sliptakes),7,1
,1,1,8,donovan,,,,,,,0,0,8,shinji (gxld),8,
,1,1,8,cjstroud777,,,,,,,1,1,8,theswitchr,8,
,2,1,8,palmer (freaky_giannis),,,,,,,1,0,8,mariiio (mario),8,
,1,1,8,armani55,,,,,,,0,0,8,jt,8,
,1,0,8,xesure,,,,,,,1,0,8,cz31,8,
,2,2,8,nbaburner,,,,,,,0,0,8,tony025 (gus_edwards) (nolan_arenado),8,
,3,0,8,1c34,,,,,,,2,2,8,ryland,7,1
,2,0,8,trey (usedtobetrey),,,,,,,1,1,8,anardi2727,8,
,3,2,8,00pium_,,,,,,,3,2,8,pg (jrrdql),8,
,1,1,8,zupa,,,,,,,0,0,8,scwipts,8,
,6,4,8,jd5 (scaryterry),,,,,,,1,1,8,donovan,8,
,0,0,8,docto,,,,,,,1,1,8,cjstroud777,8,
,4,2,8,burress,,,,,,,2,1,8,palmer (freaky_giannis),8,
,1,0,8,risen,,,,,,,1,1,8,armani55,8,
,0,0,7,lenutsack (ryan.6),,,,,,,1,0,8,xesure,8,
,1,0,7,member155146 (tutu),,,,,,,2,2,8,nbaburner,8,
,1,1,7,edwards5 (ostmoe10),,,,,,,3,0,8,1c34,8,
,0,0,7,marv,,,,,,,3,2,8,00pium_,8,
,0,0,7,nico,,,,,,,1,1,8,zupa,8,
,4,2,7,thundering,,,,,,,6,4,8,jd5 (scaryterry),8,
,2,1,7,herb,,,,,,,0,0,8,docto,8,
,2,1,7,adebayo,,,,,,,4,2,8,burress,8,
,1,0,7,soopyzethug,,,,,,,1,0,8,risen,8,
,0,0,7,hcdinger,,,,,,,2,0,8,notking (king),6,2
,0,0,7,bluegill (sliptakes),,,,,,,0,0,7,lenutsack (ryan.6),7,
,2,2,7,thunderhawk35,,,,,,,1,0,7,member155146 (tutu),7,
,1,1,7,kdfan546 (k1),,,,,,,1,1,7,edwards5 (ostmoe10),7,
,1,1,7,ryland,,,,,,,0,0,7,marv,7,
,0,0,7,roman10_,,,,,,,0,0,7,nico,7,
,0,0,7,mr3o5,,,,,,,2,1,7,adebayo,7,
,2,1,7,mattyice,,,,,,,1,0,7,soopyzethug,7,
,1,0,7,aprilfoolsbday,,,,,,,0,0,7,hcdinger,7,
,1,1,7,sossboy_,,,,,,,2,2,7,thunderhawk35,7,
,2,0,7,xyo,,,,,,,0,0,7,hunchox,6,1
,2,0,7,novo,,,,,,,0,0,7,yakov (c.otton),5,2
,2,1,7,bmannn,,,,,,,0,0,7,michst37,6,1
,0,0,7,frylock,,,,,,,1,1,7,kdfan546 (k1),7,
,0,0,7,realnuggets,,,,,,,0,0,7,roman10_,7,
,1,0,7,jmb (mbj) (reed),,,,,,,1,1,7,chase9wg,6,1
,2,2,7,mcnuggetofthegame,,,,,,,0,0,7,mr3o5,7,
,1,0,6,hazard_ (soccermav),,,,,,,2,1,7,mattyice,7,
,0,0,6,realandrewvaughn,,,,,,,3,3,7,darwin (senga),5,2
,3,1,6,elijjah (elijah) (member200104),,,,,,,1,0,7,aprilfoolsbday,7,
,0,0,6,bobby (bobby.portis9),,,,,,,1,1,7,sossboy_,7,
,1,0,6,marcusrashford,,,,,,,2,0,7,novo,7,
,0,0,6,imkennyclark,,,,,,,2,1,7,bmannn,7,
,0,0,6,xavox (vox),,,,,,,0,0,7,realnuggets,7,
,0,0,6,hunchox,,,,,,,2,2,7,mcnuggetofthegame,7,
,0,0,6,by9,,,,,,,1,0,6,hazard_ (soccermav),6,
,0,0,6,oakshow,,,,,,,0,0,6,realandrewvaughn,6,
,0,0,6,📚 (mike.woodson) (kyle.hendricks),,,,,,,3,1,6,elijjah (elijah) (member200104),6,
,0,0,6,michst37,,,,,,,0,0,6,bobby (bobby.portis9),6,
,0,0,6,greg_0927,,,,,,,1,0,6,marcusrashford,6,
,1,1,6,chase9wg,,,,,,,0,0,6,imkennyclark,6,
,0,0,6,ranch,,,,,,,0,0,6,xavox (vox),6,
,1,0,6,keplar,,,,,,,0,0,6,by9,6,
,0,0,6,glennanayres,,,,,,,0,0,6,oakshow,6,
,0,0,6,scott (sox),,,,,,,0,0,6,📚 (mike.woodson) (kyle.hendricks),6,
,2,1,6,starwars (payton) (cal3b),,,,,,,0,0,6,greg_0927,6,
,0,0,6,abbosba1,,,,,,,0,0,6,ranch,6,
,0,0,6,danielb14,,,,,,,0,0,6,sc6rz,5,1
,0,0,6,vortexed,,,,,,,1,0,6,keplar,6,
,0,0,6,reeseolson45,,,,,,,0,0,6,glennanayres,6,
,3,1,6,tank,,,,,,,0,0,6,scott (sox),6,
,1,0,6,jackbl8,,,,,,,2,1,6,starwars (payton) (cal3b),6,
,0,0,6,alessia_russo,,,,,,,0,0,6,abbosba1,6,
,1,0,6,notking (king),,,,,,,0,0,6,danielb14,6,
,0,0,5,oneextrachromosome,,,,,,,0,0,6,vortexed,6,
,1,1,5,jg4,,,,,,,0,0,6,reeseolson45,6,
,0,0,5,33nate,,,,,,,3,1,6,tank,6,
,0,0,5,joelinton (angel.hernandez),,,,,,,1,0,6,jackbl8,6,
,0,0,5,ddis (white),,,,,,,0,0,6,alessia_russo,6,
,0,0,5,nyehjared (maxeyyy),,,,,,,0,0,5,oneextrachromosome,5,
,3,2,5,cuatro (bizzy) (french),,,,,,,1,1,5,jg4,5,
,0,0,5,fellowhuman (hunter.henry),,,,,,,0,0,5,33nate,5,
,0,0,5,topflo (narcississtt),,,,,,,0,0,5,joelinton (angel.hernandez),5,
,0,0,5,eveiynn (pvrg),,,,,,,0,0,5,ddis (white),5,
,0,0,5,yakov (c.otton),,,,,,,0,0,5,nyehjared (maxeyyy),5,
,0,0,5,oliverma,,,,,,,3,2,5,cuatro (bizzy) (french),5,
,0,0,5,giannis_is_my_dad,,,,,,,0,0,5,fellowhuman (hunter.henry),5,
,0,0,5,freakycarter (carter04),,,,,,,0,0,5,topflo (narcississtt),5,
,1,0,5,tronzii,,,,,,,0,0,5,eveiynn (pvrg),5,
,0,0,5,seazyy,,,,,,,0,0,5,oliverma,5,
,0,0,5,nak,,,,,,,0,0,5,freakycarter (carter04),5,
,0,0,5,bod,,,,,,,0,0,5,cjkreider (christopherjkreider),4,1
,0,0,5,hudybetterthanmatthew,,,,,,,1,0,5,tronzii,5,
,0,0,5,greysonduer,,,,,,,0,0,5,seazyy,5,
,0,0,5,parker10114,,,,,,,0,0,5,nak,5,
,0,0,5,sc6rz,,,,,,,0,0,5,kenny,4,1
,0,0,5,mmathias,,,,,,,0,0,5,bod,5,
,3,3,5,darwin (senga),,,,,,,0,0,5,hudybetterthanmatthew,5,
,0,0,5,basedgod,,,,,,,0,0,5,greysonduer,5,
,2,2,5,yellow,,,,,,,0,0,5,parker10114,5,
,0,0,5,rojoknicks,,,,,,,0,0,5,mmathias,5,
,0,0,5,dortmund,,,,,,,0,0,5,basedgod,5,
,0,0,5,tee,,,,,,,0,0,5,followerofchrist,3,2
,3,0,5,ak470,,,,,,,2,2,5,yellow,5,
,0,0,5,qdawg21,,,,,,,0,0,5,rojoknicks,5,
,3,1,5,tranglerz,,,,,,,0,0,5,dortmund,5,
,1,0,5,lamelo,,,,,,,0,0,5,tee,5,
,0,0,4,poitras,,,,,,,3,0,5,ak470,5,
,0,0,4,milledge,,,,,,,0,0,5,qdawg21,5,
,0,0,4,avdija,,,,,,,1,0,5,lamelo,5,
,0,0,4,aaegon (sad),,,,,,,0,0,4,poitras,4,
,0,0,4,omacco (om),,,,,,,0,0,4,milledge,4,
,0,0,4,gp2,,,,,,,0,0,4,avdija,4,
,0,0,4,cric,,,,,,,0,0,4,aaegon (sad),4,
,0,0,4,antetokounmpo,,,,,,,0,0,4,omacco (om),4,
,0,0,4,cjkreider (christopherjkreider),,,,,,,0,0,4,gp2,4,
,0,0,4,ivy (wright),,,,,,,0,0,4,cric,4,
,0,0,4,amby,,,,,,,0,0,4,antetokounmpo,4,
,0,0,4,kenny,,,,,,,0,0,4,ivy (wright),4,
,0,0,4,broja,,,,,,,0,0,4,amby,4,
,0,0,4,nevada,,,,,,,0,0,4,broja,4,
,0,0,4,kaidenpickle3,,,,,,,0,0,4,nevada,4,
,1,1,4,uno,,,,,,,0,0,4,kaidenpickle3,4,
,1,0,4,adamszn,,,,,,,1,1,4,uno,4,
,0,0,4,joeburrow (member535184),,,,,,,1,0,4,adamszn,4,
,1,0,4,karaoke,,,,,,,0,0,4,joeburrow (member535184),4,
,0,0,4,blond,,,,,,,1,0,4,karaoke,4,
,0,0,4,curtisjoneslover,,,,,,,0,0,4,blond,4,
,0,0,4,shzckers,,,,,,,0,0,4,curtisjoneslover,4,
,1,0,4,kanginator,,,,,,,0,0,4,shzckers,4,
,2,0,4,gradyt06,,,,,,,1,0,4,kanginator,4,
,2,1,4,floyd,,,,,,,2,0,4,gradyt06,4,
,2,1,4,ew,,,,,,,2,1,4,floyd,4,
,1,1,4,god_did,,,,,,,2,1,4,ew,4,
,0,0,3,dakota.prescott (lfgm2048),,,,,,,1,0,4,spidawebb,3,1
,2,1,3,austinreaves,,,,,,,1,1,4,god_did,4,
,2,1,3,stroud (houston.sports.fan),,,,,,,0,0,3,dakota.prescott (lfgm2048),3,
,2,1,3,gutz8,,,,,,,2,1,3,austinreaves,3,
,0,0,3,maxshed (b2smooth),,,,,,,2,1,3,stroud (houston.sports.fan),3,
,0,0,3,dwnnylover123 (diggs),,,,,,,2,1,3,gutz8,3,
,0,0,3,minnesuffering,,,,,,,0,0,3,maxshed (b2smooth),3,
,1,0,3,ethanisacoolkid,,,,,,,0,0,3,dwnnylover123 (diggs),3,
,0,0,3,houstonbias,,,,,,,0,0,3,minnesuffering,3,
,1,0,3,sam.the.man,,,,,,,1,0,3,ethanisacoolkid,3,
,0,0,3,professionalbraveshater (wreckem),,,,,,,0,0,3,houstonbias,3,
,0,0,3,jperez1014,,,,,,,1,0,3,sam.the.man,3,
,0,0,3,colandrea10 (colandrea),,,,,,,0,0,3,professionalbraveshater (wreckem),3,
,1,0,3,pave,,,,,,,0,0,3,jperez1014,3,
,0,0,3,caleb.szn,,,,,,,0,0,3,nationals,2,1
,0,0,3,ocean (noir),,,,,,,0,0,3,colandrea10 (colandrea),3,
,0,0,3,koolaid (usman),,,,,,,1,0,3,pave,3,
,0,0,3,followerofchrist,,,,,,,0,0,3,caleb.szn,3,
,0,0,3,hollywoodwilliams (doubs),,,,,,,0,0,3,ocean (noir),3,
,1,0,3,doog,,,,,,,0,0,3,koolaid (usman),3,
,1,0,3,jarrenn,,,,,,,0,0,3,hollywoodwilliams (doubs),3,
,1,0,3,spidawebb,,,,,,,1,0,3,doog,3,
,0,0,3,alijah,,,,,,,1,0,3,jarrenn,3,
,1,1,3,joshjacobs,,,,,,,0,0,3,alijah,3,
,0,0,3,aliyu_,,,,,,,0,0,3,aliyu_,3,
,1,0,3,pierreolivierjoseph,,,,,,,1,0,3,pierreolivierjoseph,3,
,0,0,3,spike_2,,,,,,,0,0,3,spike_2,3,
,0,0,2,jaden (jadenmcdaniels),,,,,,,0,0,2,jaden (jadenmcdaniels),2,
,0,0,2,chiitown (dansby_??),,,,,,,0,0,2,chiitown (dansby_??),2,
,0,0,2,mlbguru,,,,,,,0,0,2,mlbguru,2,
,0,0,2,koby,,,,,,,0,0,2,koby,2,
,0,0,2,tatumsrange,,,,,,,0,0,2,tatumsrange,2,
,0,0,2,swipi,,,,,,,0,0,2,swipi,2,
,0,0,2,australia,,,,,,,0,0,2,australia,2,
,0,0,2,xtsunamipapix (balenci),,,,,,,0,0,2,xtsunamipapix (balenci),2,
,0,0,2,alonso (donovan.edwards),,,,,,,0,0,2,alonso (donovan.edwards),2,
,0,0,2,rome (cohen2),,,,,,,0,0,2,rome (cohen2),2,
,0,0,2,kingdom,,,,,,,0,0,2,pressy07,1,1
,0,0,2,nationals,,,,,,,0,0,2,kingdom,2,
,0,0,2,mclauinn,,,,,,,0,0,2,mclauinn,2,
,0,0,2,dr.karma,,,,,,,0,0,2,dr.karma,2,
,0,0,2,vladjr,,,,,,,0,0,2,vladjr,2,
,0,0,2,wiggles,,,,,,,0,0,2,wiggles,2,
,0,0,2,delly,,,,,,,0,0,2,delly,2,
,1,0,2,eriktenhag,,,,,,,1,0,2,eriktenhag,2,
,0,0,2,walkerkessler,,,,,,,0,0,2,walkerkessler,2,
,0,0,2,mhystc (📈),,,,,,,0,0,2,mhystc (📈),2,
,0,0,2,nicomonte,,,,,,,0,0,2,nicomonte,2,
,0,0,2,suryc,,,,,,,0,0,2,suryc,2,
,0,0,2,sebastianvettel5,,,,,,,0,0,2,sebastianvettel5,2,
,0,0,2,montolio,,,,,,,0,0,2,montolio,2,
,0,0,2,kuminga_,,,,,,,0,0,2,kuminga_,2,
,0,0,2,joeburrow,,,,,,,0,0,2,joeburrow,2,
,0,0,2,kwany,,,,,,,0,0,2,kwany,2,
,0,0,2,acqua,,,,,,,0,0,2,acqua,2,
,0,0,2,ursaal (lanamama),,,,,,,0,0,2,ursaal (lanamama),2,
,0,0,2,justinye,,,,,,,0,0,2,justinye,2,
,0,0,2,mikeyfrozone,,,,,,,0,0,2,mikeyfrozone,2,
,0,0,2,krikey,,,,,,,0,0,2,krikey,2,
,0,0,2,cephus,,,,,,,0,0,2,cephus,2,
,0,0,1,cityofhyatt,,,,,,,0,0,2,holland (swaggy),,2
,0,0,1,jxckk,,,,,,,0,0,1,cityofhyatt,1,
,0,0,1,sorta,,,,,,,0,0,1,jxckk,1,
,0,0,1,killa.cam (alyssiadore??),,,,,,,0,0,1,sorta,1,
,0,0,1,ab84,,,,,,,0,0,1,killa.cam (alyssiadore??),1,
,0,0,1,quik,,,,,,,0,0,1,ab84,1,
,0,0,1,devchig3,,,,,,,0,0,1,quik,1,
,0,0,1,pressy07,,,,,,,0,0,1,devchig3,1,
,0,0,1,daemmet,,,,,,,0,0,1,daemmet,1,
,0,0,1,mr.farts,,,,,,,0,0,1,mr.farts,1,
,0,0,1,magic,,,,,,,0,0,1,magic,1,
,0,0,1,moistdrifter,,,,,,,0,0,1,moistdrifter,1,
,0,0,1,martew,,,,,,,0,0,1,martew,1,
,0,0,1,mars (marsh),,,,,,,0,0,1,mars (marsh),1,
,0,0,1,ry.an,,,,,,,0,0,1,ry.an,1,
,0,0,1,canes,,,,,,,0,0,1,canes,1,
,0,0,1,wawa_,,,,,,,0,0,1,wawa_,1,
,0,0,1,waddle,,,,,,,0,0,1,waddle,1,
,0,0,1,herroisabum (swift),,,,,,,0,0,1,herroisabum (swift),1,
,0,0,1,geka,,,,,,,0,0,1,geka,1,
,0,0,1,sprite,,,,,,,0,0,1,sprite,1,
,0,0,1,sc,,,,,,,0,0,1,sc,1,
,0,0,1,graciouscake,,,,,,,0,0,1,graciouscake,1,
,0,0,1,oscar_rios10,,,,,,,0,0,1,oscar_rios10,1,
,0,0,1,dakster,,,,,,,0,0,1,dakster,1,
,0,0,1,detectiveh,,,,,,,0,0,1,detectiveh,1,
,0,0,1,mushymoose104,,,,,,,0,0,1,mushymoose104,1,
,0,0,1,ilovejenna,,,,,,,0,0,1,ilovejenna,1,
,0,0,1,joshgaffen,,,,,,,0,0,1,joshgaffen,1,
,0,0,1,sodaaaa,,,,,,,0,0,1,sodaaaa,1,
,0,0,1,coleman,,,,,,,0,0,1,coleman,1,
,0,0,1,imashooter,,,,,,,0,0,1,imashooter,1,
,0,0,1,6iix,,,,,,,0,0,1,6iix,1,
,0,0,1,memphissports,,,,,,,0,0,1,memphissports,1,
,0,0,1,fy,,,,,,,0,0,1,fy,1,
,0,0,1,bruhmomment,,,,,,,0,0,1,bruhmomment,1,
,0,0,1,trae_young,,,,,,,0,0,1,trae_young,1,
,0,0,1,crozo,,,,,,,0,0,1,crozo,1,
,0,0,1,lindors,,,,,,,0,0,1,lindors,1,
,0,0,1,koolesa,,,,,,,0,0,1,koolesa,1,
,0,0,1,mrdingleberry,,,,,,,0,0,1,mrdingleberry,1,
,0,0,1,al0nso,,,,,,,0,0,1,al0nso,1,
,0,0,1,ghostface,,,,,,,0,0,1,ghostface,1,
,0,0,1,huijsendean,,,,,,,0,0,1,huijsendean,1,
,0,0,1,kokomarkolo,,,,,,,0,0,1,kokomarkolo,1,
,0,0,1,mercy,,,,,,,0,0,1,mercy,1,
,0,0,1,azn,,,,,,,0,0,1,azn,1,
,0,0,1,mattisss,,,,,,,0,0,1,mattisss,1,
,0,0,1,jdinkalagegoon,,,,,,,0,0,1,jdinkalagegoon,1,
,0,0,1,saksszn,,,,,,,0,0,1,saksszn,1,
,0,0,1,bivol,,,,,,,0,0,1,bivol,1,
,0,0,1,msp,,,,,,,0,0,1,msp,1,
,,,,,,,,,,,1,1,1,sleeky,,1