Week,Day,Team A,Team B
1,1,Stars,Freaks
1,1,Lean Team,Creamers
1,1,Vipers,Horses
1,1,Outlaws,Penguins
1,1,MLB,Angels
1,2,Empire,Gamblers
1,2,Otters,Diabetics
1,2,Demons,Amigos
1,2,Aces,Piggies
1,2,Gravediggers,Tacos
1,3,Orphans,Flames
1,3,KOCK,Legion/Mafia/Twins
1,3,Sharks,Donuts
1,3,Jammers,Hounds
1,3,Hornets,Heroes
2,1,Creamers,Penguins
2,1,MLB,Aces
2,1,Stars,Gamblers
2,1,Angels,Horses
2,1,Freaks,Amigos
2,2,Jammers,Tacos
2,2,Demons,Hounds
2,2,Empire,Heroes
2,2,Orphans,Donuts
2,2,Hornets,Piggies
2,3,Lean Team,Diabetics
2,3,Vipers,Flames
2,3,Otters,Gravediggers
2,3,Outlaws,Legion/Mafia/Twins
2,3,KOCK,Sharks
3,1,Piggies,Tacos
3,1,Stars,Jammers
3,1,Freaks,Gamblers
3,1,Amigos,Orphans
3,1,Hornets,Horses
3,2,Hounds,Outlaws
3,2,Demons,Vipers
3,2,Donuts,Penguins
3,2,Empire,Flames
3,2,Sharks,Creamers
3,3,Lean Team,Gravediggers
3,3,Otters,MLB
3,3,KOCK,Aces
3,3,Angels,Legion/Mafia/Twins
3,3,Heroes,Diabetics
4,1,Jammers,Gamblers
4,1,Stars,Flames
4,1,Demons,Horses
4,1,Sharks,Orphans
4,1,Creamers,Outlaws
4,2,Vipers,Diabetics
4,2,MLB,Piggies
4,2,KOCK,Hounds
4,2,Hornets,Gravediggers
4,2,Penguins,Legion/Mafia/Twins
4,3,Freaks,Empire
4,3,Lean Team,Amigos
4,3,Heroes,Angels
4,3,Donuts,Tacos
4,3,Otters,Aces
5,1,MLB,Creamers
5,1,Gamblers,Legion/Mafia/Twins
5,1,Vipers,Hounds
5,1,Demons,Diabetics
5,1,Hornets,Flames
5,2,Jammers,Orphans
5,2,Freaks,Angels
5,2,Gravediggers,Amigos
5,2,Lean Team,Horses
5,2,Empire,Aces
5,3,Otters,Piggies
5,3,Stars,Heroes
5,3,Donuts,Outlaws
5,3,Sharks,Tacos
5,3,KOCK,Penguins
6,1,Lean Team,Orphans
6,1,Gamblers,Flames
6,1,Hounds,Creamers
6,1,MLB,Hornets
6,1,Jammers,Amigos
6,2,Stars,Empire
6,2,Heroes,Gravediggers
6,2,Piggies,Angels
6,2,Aces,Diabetics
6,2,KOCK,Tacos
6,3,Freaks,Outlaws
6,3,Horses,Legion/Mafia/Twins
6,3,Demons,Otters
6,3,Sharks,Penguins
6,3,Vipers,Donuts
7,1,Angels,Diabetics
7,1,Stars,Piggies
7,1,Aces,Gamblers
7,1,Lean Team,Heroes
7,1,Hornets,Amigos
7,2,Creamers,Flames
7,2,MLB,Outlaws
7,2,Demons,Empire
7,2,Sharks,Jammers
7,2,Orphans,Legion/Mafia/Twins
7,3,Vipers,Tacos
7,3,Otters,Hounds
7,3,KOCK,Gravediggers
7,3,Freaks,Donuts
7,3,Horses,Penguins
8,1,Aces,Flames
8,1,Orphans,Creamers
8,1,Sharks,Empire
8,1,Amigos,Outlaws
8,1,Hornets,Jammers
8,2,Lean Team,Gamblers
8,2,Hounds,Donuts
8,2,Freaks,Piggies
8,2,Horses,Diabetics
8,2,Vipers,MLB
8,3,Stars,KOCK
8,3,Gravediggers,Legion/Mafia/Twins
8,3,Otters,Angels
8,3,Demons,Penguins
8,3,Heroes,Tacos
9,1,Piggies,Gamblers
9,1,Jammers,Flames
9,1,MLB,Lean Team
9,1,Vipers,Amigos
9,1,Orphans,Horses
9,2,KOCK,Outlaws
9,2,Otters,Creamers
9,2,Hornets,Tacos
9,2,Aces,Hounds
9,2,Sharks,Diabetics
9,3,Empire,Gravediggers
9,3,Stars,Angels
9,3,Freaks,Legion/Mafia/Twins
9,3,Heroes,Penguins
9,3,Demons,Donuts
10,1,Aces,Horses
10,1,KOCK,Creamers
10,1,Lean Team,Flames
10,1,Otters,Tacos
10,1,Sharks,Piggies
10,2,Empire,Hounds
10,2,MLB,Gamblers
10,2,Orphans,Angels
10,2,Freaks,Hornets
10,2,Amigos,Legion/Mafia/Twins
10,3,Heroes,Donuts
10,3,Stars,Gravediggers
10,3,Outlaws,Diabetics
10,3,Demons,Jammers
10,3,Vipers,Penguins
11,1,Otters,Orphans
11,1,Empire,Creamers
11,1,Sharks,Hounds
11,1,Gamblers,Tacos
11,1,KOCK,Horses
11,2,Vipers,Freaks
11,2,MLB,Heroes
11,2,Lean Team,Outlaws
11,2,Piggies,Diabetics
11,2,Amigos,Donuts
11,3,Flames,Penguins
11,3,Aces,Gravediggers
11,3,Stars,Legion/Mafia/Twins
11,3,Jammers,Angels
11,3,Demons,Hornets
12,1,Freaks,Heroes
12,1,KOCK,Donuts
12,1,Hounds,Diabetics
12,1,Outlaws,Tacos
12,1,Vipers,Sharks
12,2,Gravediggers,Creamers
12,2,Amigos,Penguins
12,2,Stars,Otters
12,2,Empire,Angels
12,2,Aces,Orphans
12,3,Demons,Flames
12,3,Jammers,Lean Team
12,3,Piggies,Horses
12,3,Hornets,Gamblers
12,3,MLB,Legion/Mafia/Twins
13,1,KOCK,Otters
13,1,Hounds,Gravediggers
13,1,Heroes,Outlaws
13,1,Empire,Orphans
13,1,Aces,Amigos
13,2,Vipers,Angels
13,2,MLB,Penguins
13,2,Freaks,Lean Team
13,2,Hornets,Donuts
13,2,Diabetics,Legion/Mafia/Twins
13,3,Creamers,Horses
13,3,Stars,Sharks
13,3,Flames,Tacos
13,3,Demons,Gamblers
13,3,Jammers,Piggies
14,1,Otters,Donuts
14,1,Freaks,MLB
14,1,KOCK,Hornets
14,1,Hounds,Legion/Mafia/Twins
14,1,Gravediggers,Diabetics
14,2,Empire,Piggies
14,2,Jammers,Penguins
14,2,Stars,Orphans
14,2,Lean Team,Tacos
14,2,Heroes,Amigos
14,3,Vipers,Gamblers
14,3,Demons,Outlaws
14,3,Sharks,Aces
14,3,Creamers,Angels
14,3,Flames,Horses
15,1,Stars,Hounds
15,1,Jammers,Donuts
15,1,Piggies,Orphans
15,1,Freaks,Tacos
15,1,Lean Team,Penguins
15,2,Sharks,Angels
15,2,Otters,Hornets
15,2,MLB,Flames
15,2,Empire,Legion/Mafia/Twins
15,2,Heroes,Gamblers
15,3,Creamers,Diabetics
15,3,Gravediggers,Horses
15,3,Vipers,Outlaws
15,3,Demons,Aces
15,3,KOCK,Amigos